year,fast_casual_locations,chipotle_locations,chilis_locations,casual_dining_share_pct,data_quality,source_note
2000,8000,,800,,estimated,Est fast casual; Chili's pre-1000 milestone
2004,11000,500,1000,,estimated,"Chili's hits 1,000 locations; Chipotle ~500 units"
2010,17000,1084,1200,20.3,confirmed,Technomic/SEC; Chipotle 10-K 2010; casual share 2013 baseline
2013,19231,1595,1400,20.3,confirmed,NPD Group; Chipotle 10-K; Technomic Top 500 2013 share
2015,27925,1931,1500,18.7,confirmed,Technomic; Chipotle 10-K 2015; Top 500 share declining
2017,25118,2198,1400,18.0,confirmed,NPD Fall 2017 ReCount; Chipotle 10-K 2017
2018,28000,2452,1350,18.7,confirmed,Technomic Top 500; Chipotle 10-K 2018
2019,30000,2580,1228,18.0,estimated,Brinker 10-K 2019; Chipotle 10-K 2019
2020,32000,2724,1610,17.5,estimated,COVID year; Chipotle 10-K 2020; Chili's Wikipedia
2021,35000,2966,1400,18.0,estimated,Post-COVID rebound estimates
2023,40000,3315,1231,18.0,estimated,Chipotle 10-K 2023; Chili's Statista 2023
2025,44098,3700,1300,18.5,estimated,Technomic projection; Chili's resurgence era
